"","Cruise","nstations"
"1","AE1319",15
"2","AMT28",709
"3","BVAL46",18
"4","C13",112
"5","I09N",238
"6","I7N",719
"7","NH1418",88
"8","OS1701",30
"9","OS1901",38
"10","P18",193
"11","SKQ1709s",14
"12","SKQ2018-13S",14
