Latitude,Longitude,Region
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
22.75,-158.0,2.0
30.88,-10.02,1.0
30.88,-10.02,1.0
31.27,-9.88,1.0
31.1,-9.88,1.0
31.1,-9.88,1.0
30.88,-9.85,1.0
30.88,-9.85,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
31.67,-64.17,1.0
-51.28,65.93,5.0
-31.93,68.53,3.0
-35.78,63.8,3.0
-33.35,70.82,3.0
-34.67,72.88,3.0
-32.27,69.03,3.0
-29.57,60.03,3.0
-30.0,60.28,3.0
-35.33,63.5,3.0
-36.7,64.42,5.0
-31.6,68.08,3.0
-34.37,72.4,3.0
-30.45,60.53,3.0
-32.55,69.5,3.0
-29.78,65.52,3.0
-35.22,73.82,3.0
-33.08,62.07,3.0
-33.98,62.62,3.0
-29.47,65.12,3.0
-34.88,63.2,3.0
-33.07,70.37,3.0
-33.78,71.5,3.0
-34.07,71.95,3.0
-27.4,58.88,3.0
-32.8,69.93,3.0
-34.95,73.35,3.0
-31.3,61.03,3.0
-27.83,59.1,3.0
-29.18,64.68,3.0
-30.38,66.38,3.0
-32.75,61.87,3.0
-31.27,67.65,3.0
-30.87,60.78,3.0
-36.23,64.1,3.0
-35.5,74.32,3.0
-28.23,63.48,3.0
-27.63,62.73,3.0
-30.68,66.8,3.0
-35.78,74.8,3.0
-36.08,75.28,3.0
-30.97,67.2,3.0
-31.75,61.3,3.0
-52.68,66.63,5.0
-32.18,61.55,3.0
-37.58,65.05,5.0
-38.25,65.53,5.0
-47.35,55.0,5.0
-55.1,68.57,5.0
-27.93,63.1,3.0
-28.55,63.87,3.0
-37.15,64.72,5.0
-26.05,58.25,3.0
-34.43,62.9,3.0
-54.02,67.7,5.0
-53.12,72.83,5.0
-26.73,61.65,3.0
-27.03,62.02,3.0
-53.12,66.97,5.0
-51.77,66.15,5.0
-29.13,59.8,3.0
-54.67,68.2,5.0
-28.7,59.57,3.0
-28.85,64.27,3.0
-54.48,71.37,5.0
-54.23,67.88,5.0
-53.33,72.48,5.0
-47.85,63.9,5.0
-47.2,73.65,5.0
-53.6,72.25,5.0
-37.05,76.67,5.0
-50.67,71.57,5.0
-49.8,64.97,5.0
-27.33,62.37,3.0
-52.22,66.37,5.0
-48.3,64.1,5.0
-53.93,71.88,5.0
-36.73,76.23,5.0
-54.72,71.13,5.0
-50.97,65.77,5.0
-47.4,64.72,5.0
-48.75,64.3,5.0
-55.95,70.02,5.0
-47.52,63.68,5.0
-26.48,58.47,3.0
-36.4,75.77,3.0
-49.2,64.5,5.0
-24.25,57.37,3.0
-49.47,61.5,5.0
-26.17,60.97,3.0
-44.67,46.2,5.0
-55.5,68.92,5.0
-37.97,27.35,5.0
-48.48,58.33,5.0
-49.52,71.53,5.0
-25.4,59.92,3.0
-47.42,65.4,5.0
-25.03,59.58,3.0
-55.53,70.38,5.0
-49.1,75.65,5.0
-49.67,73.83,5.0
-49.13,60.4,5.0
-47.42,66.07,5.0
-48.83,59.35,5.0
-45.55,71.93,5.0
-43.92,43.85,5.0
-49.47,71.77,5.0
-49.88,62.65,5.0
-24.75,59.23,3.0
-44.3,45.07,5.0
-46.8,73.22,5.0
-43.53,42.7,5.0
-46.93,53.83,5.0
-25.97,60.62,3.0
-47.73,56.15,5.0
-45.03,47.37,5.0
-49.95,63.82,5.0
-39.37,31.12,5.0
-45.33,71.72,5.0
-49.53,64.88,5.0
-40.23,33.2,5.0
-43.12,69.5,5.0
-37.73,77.53,5.0
-48.37,74.93,5.0
-41.88,37.82,5.0
-49.63,66.82,5.0
-41.52,36.72,5.0
-41.4,68.05,5.0
-43.52,69.9,5.0
-40.57,34.32,5.0
-39.77,66.72,5.0
-39.85,32.17,5.0
-38.32,28.3,5.0
-46.15,50.72,5.0
-43.03,41.23,5.0
-49.48,75.98,5.0
-39.35,66.37,5.0
-44.73,71.08,5.0
-45.13,71.5,5.0
-42.27,68.75,5.0
-49.55,65.97,5.0
-40.58,67.43,5.0
-41.83,68.42,5.0
-40.98,67.72,5.0
-37.68,26.38,5.0
-47.98,74.52,5.0
-49.57,72.3,5.0
-39.07,30.13,5.0
-45.72,49.58,5.0
-42.65,40.07,5.0
-40.17,67.08,5.0
-42.7,69.1,5.0
-45.4,48.43,5.0
-44.32,70.68,5.0
-41.15,35.62,5.0
-49.82,67.68,5.0
-42.25,38.93,5.0
-38.77,29.17,5.0
-49.62,73.07,5.0
-47.6,74.08,5.0
-17.87,-140.8,2.0
-17.5,-143.4,2.0
-17.6,-142.7,2.0
-16.75,-144.1,2.0
-15.87,-145.2,2.0
-18.05,-142.3,2.0
-16.67,-142.9,2.0
-15.17,-147.7,2.0
-16.87,-142.0,2.0
-15.75,-144.7,2.0
-14.5,-145.3,2.0
-17.3,-142.5,2.0
-16.87,-144.3,2.0
-15.0,-148.2,2.0
-15.83,-146.0,2.0
-16.67,-144.2,2.0
-25.5,61.0,3.0
-31.4,67.0,3.0
-37.0,75.0,5.0
-25.6,58.0,3.0
-32.83,62.0,3.0
-42.25,68.0,5.0
-47.5,63.75,5.0
-50.95,65.75,5.0
-56.0,69.95,5.0
-50.67,71.55,5.0
-54.0,-176.0,5.0
30.46,-64.89,1.0
31.22,-64.08,1.0
30.86,-64.5,1.0
30.68,-64.71,1.0
30.5,-64.92,1.0
30.32,-65.13,1.0
30.15,-65.34,1.0
29.78,-65.76,1.0
30.16,-65.34,1.0
30.32,-65.13,1.0
30.68,-64.71,1.0
30.86,-64.5,1.0
31.22,-64.08,1.0
30.5,-64.92,1.0
29.96,-65.55,1.0
29.78,-66.18,1.0
29.78,-64.92,1.0
30.14,-65.12,1.0
30.49,-65.13,1.0
30.86,-65.13,1.0
31.22,-65.13,1.0
31.67,-64.16,1.0
30.68,-65.55,1.0
30.68,-65.34,1.0
30.68,-65.75,1.0
30.86,-65.76,1.0
31.04,-65.76,1.0
31.4,-65.76,1.0
31.76,-65.76,1.0
31.4,-65.76,1.0
31.04,-65.76,1.0
30.86,-65.76,1.0
30.33,-65.79,1.0
30.49,-65.77,1.0
30.68,-65.76,1.0
30.86,-65.76,1.0
30.68,-65.97,1.0
30.87,-65.97,1.0
31.67,-64.17,1.0
30.9,-66.29,1.0
31.08,-66.29,1.0
30.9,-66.29,1.0
30.9,-65.45,1.0
30.9,-65.87,1.0
30.9,-66.08,1.0
30.9,-66.29,1.0
30.9,-66.5,1.0
30.9,-66.71,1.0
30.9,-67.11,1.0
