Latitude,Longitude,Region
31.67,-64.17,1.0
37.73,-66.65,1.0
42.03,-69.21,1.0
55.0,-49.0,1.0
53.0,-46.0,1.0
51.0,-43.0,1.0
49.0,-40.01,1.0
47.01,-42.49,1.0
45.0,-45.0,1.0
43.0,-47.5,1.0
41.0,-49.99,1.0
39.0,-52.5,1.0
37.0,-55.0,1.0
35.0,-57.5,1.0
33.0,-60.0,1.0
31.67,-64.17,1.0
49.638,-5.502,1.0
49.581,-5.676,1.0
49.501,-5.908,1.0
49.429,-6.108,1.0
49.355,-6.332,1.0
49.267,-6.567,1.0
49.178,-6.803,1.0
49.083,-7.085,1.0
49.015,-7.282,1.0
48.92,-7.547,1.0
48.824,-7.826,1.0
48.734,-8.077,1.0
48.647,-8.334,1.0
48.571,-8.054,1.0
48.474,-8.833,1.0
48.469,-8.837,1.0
48.395,-9.026,1.0
48.324,-9.256,1.0
48.226,-9.538,1.0
48.169,-9.686,1.0
48.099,-9.875,1.0
48.037,-10.038,1.0
47.961,-10.235,1.0
47.961,-10.235,1.0
47.961,-10.235,1.0
47.901,-10.381,1.0
47.867,-10.458,1.0
47.775,-10.734,1.0
47.698,-10.96,1.0
47.62,-11.171,1.0
47.495,-11.468,1.0
47.353,-11.623,1.0
47.22,-11.734,1.0
47.031,-11.9,1.0
46.838,-12.063,1.0
46.699,-12.178,1.0
46.513,-12.331,1.0
46.373,-12.453,1.0
46.242,-12.567,1.0
46.061,-12.711,1.0
46.029,-12.733,1.0
45.934,-12.818,1.0
45.791,-12.935,1.0
45.618,-13.903,1.0
45.566,-13.112,1.0
45.395,-13.257,1.0
45.231,-13.4,1.0
45.032,-13.561,1.0
45.032,-13.561,1.0
45.032,-13.561,1.0
44.965,-13.594,1.0
44.802,-13.736,1.0
44.703,-13.827,1.0
44.552,-13.954,1.0
44.393,-14.077,1.0
44.837,-13.703,1.0
44.064,-14.341,1.0
43.899,-14.474,1.0
43.817,-14.562,1.0
43.725,-14.635,1.0
43.565,-14.746,1.0
43.414,-14.867,1.0
43.28,-14.969,1.0
43.151,-15.07,1.0
42.989,-15.199,1.0
42.967,-15.213,1.0
42.896,-15.271,1.0
42.712,-15.416,1.0
42.59,-15.508,1.0
42.449,-15.621,1.0
42.301,-15.732,1.0
42.137,-15.864,1.0
42.025,-15.94,1.0
42.025,-15.94,1.0
42.025,-15.94,1.0
41.908,-16.048,1.0
41.755,-16.159,1.0
41.584,-16.293,1.0
41.434,-16.409,1.0
41.307,-16.507,1.0
41.122,-16.648,1.0
40.975,-16.761,1.0
40.813,-16.887,1.0
40.672,-16.992,1.0
40.533,-17.103,1.0
40.391,-17.204,1.0
40.228,-17.33,1.0
40.075,-17.441,1.0
39.907,-17.558,1.0
39.737,-17.694,1.0
39.719,-17.716,1.0
39.603,-17.797,1.0
39.482,-17.89,1.0
39.315,-18.014,1.0
39.201,-18.103,1.0
39.013,-18.24,1.0
38.879,-18.335,1.0
38.743,-18.441,1.0
38.743,-18.441,1.0
38.743,-18.441,1.0
38.631,-18.526,1.0
38.496,-18.627,1.0
38.364,-18.71,1.0
38.207,-18.831,1.0
37.096,-18.913,1.0
37.921,-19.039,1.0
37.799,-19.13,1.0
37.646,-19.244,1.0
37.482,-19.361,1.0
37.352,-19.455,1.0
37.207,-19.559,1.0
37.064,-19.661,1.0
36.914,-19.771,1.0
36.737,-19.897,1.0
36.592,-20.001,1.0
36.414,-20.122,1.0
36.414,-20.121,1.0
36.315,-20.199,1.0
36.246,-20.251,1.0
36.041,-20.398,1.0
35.871,-20.348,1.0
35.973,-20.444,1.0
35.563,-20.736,1.0
35.344,-20.891,1.0
35.344,-20.891,1.0
35.344,-20.891,1.0
35.283,-20.923,1.0
35.158,-21.021,1.0
35.005,-21.116,1.0
34.85,-21.202,1.0
34.71,-21.28,1.0
34.536,-21.366,1.0
34.368,-21.458,1.0
34.2,-21.551,1.0
34.046,-21.63,1.0
33.872,-21.012,1.0
33.691,-21.816,1.0
33.573,-21.876,1.0
33.41,-21.957,1.0
33.245,-21.045,1.0
33.068,-22.134,1.0
33.047,-22.137,1.0
32.981,-22.169,1.0
32.829,-22.256,1.0
32.656,-22.343,1.0
32.524,-22.41,1.0
32.387,-22.48,1.0
32.2,-22.575,1.0
32.043,-22.657,1.0
32.043,-22.657,1.0
32.043,-22.657,1.0
31.857,-22.71,1.0
31.825,-22.741,1.0
31.631,-22.856,1.0
31.487,-22.947,1.0
31.322,-23.023,1.0
31.16,-23.102,1.0
30.991,-23.187,1.0
30.806,-23.279,1.0
30.62,-23.372,1.0
